"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
2021-07-05,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-07-06,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-07,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-07-08,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-07-09,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-10,"土",,,,,,,,,,,,,,,,,
2021-07-11,"日",,,,,,,,,,,,,,,,,
2021-07-12,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-07-13,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-14,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-07-15,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-07-16,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-17,"土",,,,,,,,,,,,,,,,,
2021-07-18,"日",,,,,,,,,,,,,,,,,
2021-07-19,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-07-20,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
